City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Hilo,US,88.29,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
7,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
8,Hambantota,LK,77.79,overcast clouds,6.1241,81.1185,Bungalow 63
10,Butaritari,KI,82.22,broken clouds,3.0707,172.7902,Isles Sunset Lodge
14,Faanui,PF,77.18,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
20,Hithadhoo,MV,81.86,overcast clouds,-0.6,73.0833,Scoop Guest House
21,Marsa Matruh,EG,77.2,few clouds,31.3525,27.2453,Beau Site
22,Nha Trang,VN,78.8,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
24,Albany,US,86.65,broken clouds,42.6001,-73.9662,
28,Kavieng,PG,83.19,broken clouds,-2.5744,150.7967,Nusa Island Retreat
29,Tuktoyaktuk,CA,77.0,scattered clouds,69.4541,-133.0374,End of The Road Ltd.
30,Isangel,VU,82.51,few clouds,-19.55,169.2667,Tanna Lodge
31,Livramento,BR,84.87,few clouds,-3.0254,-60.1803,Refúgio Samauma
39,Shingu,JP,81.52,heavy intensity rain,33.7333,135.9833,Shingu UI Hotel
40,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
41,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
42,Kapaa,US,83.48,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
53,Adre,TD,75.74,scattered clouds,13.4667,22.2,
56,Jamestown,US,78.39,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
61,Dakar,SN,78.93,few clouds,14.6937,-17.4441,Novotel Dakar
67,Guerrero Negro,MX,76.12,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
79,Atuona,PF,77.47,scattered clouds,-9.8,-139.0333,Villa Enata
81,Sao Felix Do Xingu,BR,82.38,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
82,Port Moresby,PG,83.62,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
83,Barcelona,ES,79.32,clear sky,41.3888,2.159,Axel Hotel Barcelona
86,Lazaro Cardenas,MX,84.51,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
89,Poum,NC,76.62,few clouds,-20.2333,164.0167,
90,Kamphaeng Phet,TH,75.99,overcast clouds,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
94,Suluq,LY,77.81,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
98,Morros,BR,81.73,overcast clouds,-9.4467,-46.3003,
101,Tessalit,ML,88.86,overcast clouds,20.1986,1.0114,
106,La Crosse,US,87.73,clear sky,43.8014,-91.2396,Holiday Inn & Suites La Crosse - Downtown
107,Santa Isabel Do Rio Negro,BR,76.19,scattered clouds,-0.4139,-65.0192,Hotel GSA
112,Bubaque,GW,79.03,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
113,Waingapu,ID,75.11,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
116,Port Blair,IN,80.64,very heavy rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
119,Traverse City,US,86.11,scattered clouds,44.7631,-85.6206,Bayshore Resort
121,Bethel,US,84.56,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
122,Aquiraz,BR,80.19,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
125,Umm Lajj,SA,87.75,scattered clouds,25.0213,37.2685,Moon light Furnished Units
126,Ancona,IT,80.67,clear sky,43.55,13.1667,Casa Vandina - B&B
143,Catuday,PH,79.02,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
146,Kulhudhuffushi,MV,80.08,overcast clouds,6.6221,73.07,Haajy Guest House 1
153,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
155,Goderich,CA,80.92,clear sky,43.7501,-81.7165,Harmony Inn
157,Gizo,SB,83.75,broken clouds,-8.103,156.8419,Imagination Island
160,Mantua,IT,85.24,few clouds,45.1667,10.7833,Hotel la Favorita
163,Santa Luzia,BR,79.7,clear sky,-19.7697,-43.8514,Pousada Chao Earth
166,Dwarka,IN,81.25,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
169,Surin,TH,79.0,overcast clouds,14.8818,103.4936,One Fu Hotel
170,Balabac,PH,79.25,moderate rain,7.9868,117.0645,Batalla’s Lodging House
173,Jalu,LY,83.8,clear sky,29.0331,21.5482,صاحبة الفخامة
178,Pingxiang,CN,83.01,broken clouds,27.6167,113.85,Haiyuntian Hotel
182,Middletown,US,83.07,broken clouds,39.5151,-84.3983,Center of Hope for Women and Children
183,Lorengau,PG,82.94,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
190,Sao Geraldo Do Araguaia,BR,80.38,broken clouds,-6.4006,-48.555,Hotel Por do Sol
194,Artyom,AZ,80.74,broken clouds,40.4723,50.333,Pir hos
195,Westport,US,85.82,clear sky,41.1415,-73.3579,The Westport Inn
197,Bocaiuva,BR,76.71,clear sky,-17.1078,-43.815,Hotel Maxim's
200,Fort Nelson,CA,76.59,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
202,Mankera,PK,89.78,broken clouds,31.3866,71.4407,Haider Wood Supplier
218,Auki,SB,87.1,overcast clouds,-8.7676,160.7034,Auki Motel
224,Chabahar,IR,80.2,broken clouds,25.2919,60.643,هتل گدروشیا
226,Marzuq,YE,80.35,broken clouds,14.4,46.4667,
