City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Hilo,US,19.7297,-155.09,88.29,86,100,13.8,moderate rain
1,Pitimbu,BR,-7.4706,-34.8086,73.99,81,4,10.36,clear sky
2,Lagoa,PT,39.05,-27.9833,74.55,85,20,9.75,few clouds
3,Busselton,AU,-33.65,115.3333,54.7,70,83,7.54,broken clouds
4,Nikolskoye,RU,59.7035,30.7861,67.91,83,48,5.48,scattered clouds
5,Cabedelo,BR,-6.9811,-34.8339,74.07,81,6,11.23,clear sky
6,Mataura,NZ,-46.1927,168.8643,57.47,73,92,4.03,overcast clouds
7,Vaini,TO,-21.2,-175.2,75.36,100,75,13.8,broken clouds
8,Hambantota,LK,6.1241,81.1185,77.79,80,100,16.24,overcast clouds
9,Upernavik,GL,72.7868,-56.1549,40.75,93,83,10.89,broken clouds
10,Butaritari,KI,3.0707,172.7902,82.22,73,84,9.08,broken clouds
11,Chingirlau,KZ,51.095,54.0814,68.2,51,52,9.84,broken clouds
12,Cape Town,ZA,-33.9258,18.4232,57.11,91,75,4.0,broken clouds
13,Hobart,AU,-42.8794,147.3294,49.05,90,75,13.8,broken clouds
14,Faanui,PF,-16.4833,-151.75,77.18,79,60,22.66,light rain
15,Qaanaaq,GL,77.484,-69.3632,41.16,65,7,2.89,clear sky
16,Saint-Philippe,RE,-21.3585,55.7679,66.22,71,31,9.75,scattered clouds
17,Port Alfred,ZA,-33.5906,26.891,61.59,76,79,12.5,broken clouds
18,Coihaique,CL,-45.5752,-72.0662,34.41,95,16,2.93,few clouds
19,Cherskiy,RU,68.75,161.3,55.08,49,100,14.07,overcast clouds
20,Hithadhoo,MV,-0.6,73.0833,81.86,74,94,12.3,overcast clouds
21,Marsa Matruh,EG,31.3525,27.2453,77.2,78,20,4.61,few clouds
22,Nha Trang,VN,12.25,109.1833,78.8,81,100,4.76,overcast clouds
23,Kaitangata,NZ,-46.2817,169.8464,53.83,75,99,4.52,overcast clouds
24,Albany,US,42.6001,-73.9662,86.65,89,82,0.51,broken clouds
25,Yellowknife,CA,62.456,-114.3525,69.57,42,75,4.61,broken clouds
26,Port Elizabeth,ZA,-33.918,25.5701,55.69,89,0,8.05,clear sky
27,Husavik,IS,66.0449,-17.3389,49.1,77,14,0.58,few clouds
28,Kavieng,PG,-2.5744,150.7967,83.19,68,59,5.66,broken clouds
29,Tuktoyaktuk,CA,69.4541,-133.0374,77.0,38,40,12.66,scattered clouds
30,Isangel,VU,-19.55,169.2667,82.51,69,20,4.61,few clouds
31,Livramento,BR,-3.0254,-60.1803,84.87,89,20,0.0,few clouds
32,Alzamay,RU,55.5562,98.6644,48.0,82,100,7.96,overcast clouds
33,Ushuaia,AR,-54.8,-68.3,37.06,81,20,10.36,few clouds
34,Kruisfontein,ZA,-34.0033,24.7314,51.19,90,27,6.11,scattered clouds
35,Cap-Aux-Meules,CA,47.3821,-61.8597,68.05,77,75,8.05,broken clouds
36,Mount Darwin,ZW,-16.7725,31.5838,55.83,55,0,3.22,clear sky
37,Mar Del Plata,AR,-38.0023,-57.5575,48.22,86,0,4.0,clear sky
38,Cap Malheureux,MU,-19.9842,57.6142,65.46,75,20,4.0,few clouds
39,Shingu,JP,33.7333,135.9833,81.52,83,21,7.09,heavy intensity rain
40,Avarua,CK,-21.2078,-159.775,75.25,73,40,16.11,scattered clouds
41,Salalah,OM,17.0151,54.0924,78.89,94,75,2.3,broken clouds
42,Kapaa,US,22.0752,-159.319,83.48,70,20,11.5,few clouds
43,Mitsamiouli,KM,-11.3847,43.2844,73.45,71,0,0.34,clear sky
44,Chuy,UY,-33.6971,-53.4616,45.72,90,2,4.61,clear sky
45,Punta Arenas,CL,-53.15,-70.9167,33.91,86,40,4.61,scattered clouds
46,Tiksi,RU,71.6872,128.8694,41.2,89,100,6.82,overcast clouds
47,Okhotsk,RU,59.3833,143.3,57.29,87,100,12.8,overcast clouds
48,Tuatapere,NZ,-46.1333,167.6833,54.25,79,79,5.66,broken clouds
49,Buin,CL,-33.7333,-70.75,55.74,66,88,0.94,light rain
50,Maua,BR,-23.6678,-46.4614,60.37,91,91,5.99,overcast clouds
51,Lebu,CL,-37.6167,-73.65,50.77,91,100,3.47,overcast clouds
52,Khatanga,RU,71.9667,102.5,62.11,71,25,6.8,scattered clouds
53,Adre,TD,13.4667,22.2,75.74,75,40,6.71,scattered clouds
54,Airai,TL,-8.9266,125.4092,65.25,72,89,2.8,overcast clouds
55,Kostino,RU,58.9097,53.2691,63.61,74,68,2.3,broken clouds
56,Jamestown,US,42.097,-79.2353,78.39,78,20,5.75,few clouds
57,Kuytun,RU,54.3419,101.5036,46.74,87,78,8.52,broken clouds
58,Bredasdorp,ZA,-34.5322,20.0403,52.12,92,49,3.31,scattered clouds
59,Bilibino,RU,68.0546,166.4372,48.99,69,100,12.24,light rain
60,Rio Grande,BR,-32.035,-52.0986,46.51,82,0,6.4,clear sky
61,Dakar,SN,14.6937,-17.4441,78.93,94,20,0.0,few clouds
62,Pacific Grove,US,36.6177,-121.9166,74.25,78,75,12.66,broken clouds
63,Plouzane,FR,48.3833,-4.6167,57.25,91,0,8.05,clear sky
64,Constitucion,CL,-35.3333,-72.4167,52.74,95,100,2.55,overcast clouds
65,Marawi,PH,7.9986,124.2928,74.3,83,93,1.41,overcast clouds
66,Bluff,NZ,-46.6,168.3333,57.79,88,77,7.43,light rain
67,Guerrero Negro,MX,27.9769,-114.0611,76.12,73,4,20.76,clear sky
68,Grindavik,IS,63.8424,-22.4338,53.55,100,100,20.71,light intensity drizzle
69,Provideniya,RU,64.3833,-173.3,50.18,55,30,7.63,scattered clouds
70,Puerto Ayora,EC,-0.7393,-90.3518,70.56,90,68,8.01,broken clouds
71,Hofn,IS,64.2539,-15.2082,52.05,90,51,7.78,broken clouds
72,Souillac,MU,-20.5167,57.5167,68.38,83,40,14.97,scattered clouds
73,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,4.61,broken clouds
74,Yantzaza,EC,-3.8278,-78.7594,68.11,98,95,0.94,moderate rain
75,Severnyy,RU,50.677,36.5532,68.04,83,0,6.71,clear sky
76,Saint George,US,37.1041,-113.5841,94.62,37,75,12.66,broken clouds
77,East London,ZA,-33.0153,27.9116,60.58,77,11,10.49,few clouds
78,Rikitea,PF,-23.1203,-134.9692,70.59,61,15,18.41,few clouds
79,Atuona,PF,-9.8,-139.0333,77.47,73,49,14.09,scattered clouds
80,Bindura,ZW,-17.3019,31.3306,54.37,55,0,1.77,clear sky
81,Sao Felix Do Xingu,BR,-6.6447,-51.995,82.38,51,41,2.84,scattered clouds
82,Port Moresby,PG,-9.4431,147.1797,83.62,74,40,3.44,haze
83,Barcelona,ES,41.3888,2.159,79.32,65,0,3.44,clear sky
84,Beringovskiy,RU,63.05,179.3167,55.58,61,8,8.61,clear sky
85,Torbay,CA,47.6666,-52.7314,70.57,80,75,24.16,broken clouds
86,Lazaro Cardenas,MX,17.9583,-102.2,84.51,67,29,6.78,scattered clouds
87,Mehamn,NO,71.0357,27.8492,49.95,81,88,8.05,overcast clouds
88,Alto Araguaia,BR,-17.3147,-53.2153,71.65,32,5,3.09,clear sky
89,Poum,NC,-20.2333,164.0167,76.62,79,15,8.05,few clouds
90,Kamphaeng Phet,TH,16.25,99.5,75.99,88,100,1.99,overcast clouds
91,Thompson,CA,55.7435,-97.8558,53.76,94,100,13.8,mist
92,Haverfordwest,GB,51.8017,-4.9691,51.39,91,100,3.44,overcast clouds
93,Blagoyevo,RU,63.3667,47.9167,61.83,83,68,4.0,broken clouds
94,Suluq,LY,31.6682,20.2521,77.81,71,0,7.4,clear sky
95,Uruzgan,AF,32.8333,66.0,74.59,15,0,4.59,clear sky
96,Zhigansk,RU,66.7697,123.3711,49.62,98,100,17.31,heavy intensity rain
97,Aras,ES,42.5617,-2.356,66.61,68,100,6.91,light rain
98,Morros,BR,-9.4467,-46.3003,81.73,41,96,1.23,overcast clouds
99,Narsaq,GL,60.9167,-46.05,46.62,94,100,0.83,light rain
100,Tasiilaq,GL,65.6145,-37.6368,48.36,74,49,2.35,scattered clouds
101,Tessalit,ML,20.1986,1.0114,88.86,37,95,7.34,overcast clouds
102,Vestmannaeyjar,IS,63.4427,-20.2734,53.42,96,100,21.65,overcast clouds
103,Mildura,AU,-34.2,142.15,52.07,86,8,20.29,clear sky
104,Dumas,US,35.8656,-101.9732,96.62,28,0,16.11,clear sky
105,Ayan,RU,56.45,138.1667,54.9,98,100,19.91,moderate rain
106,La Crosse,US,43.8014,-91.2396,87.73,62,0,13.8,clear sky
107,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,76.19,77,42,2.77,scattered clouds
108,Barrow,US,71.2906,-156.7887,41.02,93,100,12.66,mist
109,Yerbogachen,RU,61.2767,108.0108,47.64,88,100,6.58,overcast clouds
110,Udachnyy,RU,66.4167,112.4,52.45,81,100,26.37,overcast clouds
111,Camacha,PT,33.0833,-16.3333,67.42,83,75,9.22,broken clouds
112,Bubaque,GW,11.2833,-15.8333,79.03,83,100,12.24,overcast clouds
113,Waingapu,ID,-9.6567,120.2641,75.11,66,95,2.75,overcast clouds
114,Asau,RO,46.4333,26.4,65.32,78,3,4.21,clear sky
115,Pevek,RU,69.7008,170.3133,34.86,98,100,8.41,snow
116,Port Blair,IN,11.6667,92.75,80.64,89,75,10.36,very heavy rain
117,Burnie,AU,-41.0667,145.9167,54.91,73,34,5.73,scattered clouds
